Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,215.77,5226165174272,85.2,214.5,19.85,8.71,42.3,202.07,188.24,True,True,True,BULLISH TREND,False,59.31,NEUTRAL,5,Marvell stock extends gains after a 32% pop as Nvidia CEO calls chipmaker 'the next trillion-dollar company' | Portfolio manager explains why Sanmina Corp. is a good buy | How Nio Is Proving It's a Top Auto Stock Despite Brutal the Price War,33.04,17.08,46335873024.0,6.555,114.29,62.97,87.84,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,314.72,22234210304,21.0,56.1,25.29,4.84,63.28,288.43,266.83,True,True,True,BULLISH TREND,False,56.05,NEUTRAL,5,Here's Why You Should Retain AMN Stock in Your Portfolio for Now | NPCE Receives FDA Approval for AI-Powered ECoG Assistant for Epilepsy | NTRA & Diakonos Partner to Use Signatera in Refractory Melanoma Trial,42.02,33.0,275662496.0,10.734,19.13,16.85,82.43,BUY SIGNAL
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,142.44,75867611136,15.6,39.6,12.14,0.59,61.59,137.59,118.4,True,True,True,BULLISH TREND,False,55.27,NEUTRAL,5,The 2 Signals That Will Determine XLE’s Performance Through Year-End | Dividend Stocks To Consider In May 2026 | Why ExxonMobil's Strong Balance Sheet Matters for Investors,14.01,9.71,2864250112.0,26.873,18.2,23.32,82.32,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,248.56,2673356832768,16.6,74.8,19.06,-8.63,31.62,249.51,231.92,False,True,True,BUY THE DIP,False,48.55,NEUTRAL,5,"Marvell stock extends gains after a 32% pop as Nvidia CEO calls chipmaker 'the next trillion-dollar company' | Meta, Microsoft, Amazon, and Alphabet are about to spend a shocking amount of money to dominate the AI era | Move Over AI: Jeff Bezos and NVIDIA Are Quietly Backing a New Breakthrough Industry",30.64,25.2,9806624768.0,53.3,24.29,12.22,81.38,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,312.75,33606037504,23.6,65.1,58.33,47.95,83.82,219.74,229.46,True,True,False,WATCH - OVERBOUGHT,False,64.27,POSITIVE,5,"Here is What to Know Beyond Why First Solar, Inc. (FSLR) is a Trending Stock | Selling US$8.5m Of First Solar Stock Rewarded Insiders | Record Sales Lift First Solar Shares",20.19,13.35,1147664768.0,5.943,18.44,30.73,80.84,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,1066.32,1202559123456,196.3,756.0,180.97,84.98,74.38,595.43,352.58,True,True,True,WATCH - OVERBOUGHT,False,68.54,POSITIVE,5,"Marvell stock extends gains after a 32% pop as Nvidia CEO calls chipmaker 'the next trillion-dollar company' | Amid the Artificial Intelligence (AI) Bonanza, Investors Might be Overlooking a Big Opportunity to Buy Netflix Stock | Prediction: This Artificial Intelligence (AI) Chip Stock Will Soar After Micron's Earnings",50.35,10.04,2893499904.0,14.902,39.82,41.49,80.73,BUY SIGNAL
MPWR,https://www.tradingview.com/chart/?symbol=MPWR,"Monolithic Power Systems, Inc.",Technology,1667.87,81942454272,26.1,39.5,55.55,6.01,51.35,1452.2,1103.64,True,True,True,BULLISH TREND,False,66.3,POSITIVE,5,"Is Monolithic Power Systems (MPWR) Overvalued After Its Strong Recent Share Price Momentum | Stock Market Today, June 2: Marvell Technology Surges After Nvidia CEO Highlights AI Infrastructure Role | 1 S&P 500 Stock to Target This Week and 2 We Question",119.39,55.3,491719136.0,0.543,19.57,22.98,80.5,BUY SIGNAL
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,433.41,211108397056,37.2,110.5,28.2,9.46,50.79,379.17,299.59,True,True,True,BULLISH TREND,False,56.61,NEUTRAL,5,"What's Happening With Coherent Stock? | Stock Indexes Post New Record Highs Amid AI Enthusiasm | Texas Instruments Is Smashing NVIDIA in 2026: Rotational Fluke, or Paradigm Shift?",64.4,29.34,3868954624.0,25.81,9.64,26.01,80.48,BUY SIGNAL
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,249.43,88788926464,32.2,104.0,123.16,70.04,69.24,161.33,145.95,True,True,True,BULLISH TREND,False,52.36,NEUTRAL,5,"Stock Market Today: Dow Drops 400 Points, Small Caps Crater On U.S.-Iran Unease; Macy's Wobbles (Live Coverage) | 1 Unpopular Stock That Should Get More Attention and 2 We Avoid | Investors Heavily Search Datadog, Inc. (DDOG): Here is What You Need to Know",656.41,87.64,936726528.0,32.221,3.93,3.69,80.14,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,924.996,426045702144,22.2,30.2,28.33,5.74,54.63,826.7,640.99,True,True,True,BULLISH TREND,False,63.65,POSITIVE,5,"Stock Of The Day, A Dow Jones Member And AI Play, Reaches Buy Point | SpaceX Target Valuation Lowered Again. Why That’s a Red Flag for the Stock Market. | Dow Jones Futures Fall, Oil Prices Rise As Trump Sets New Hormuz Target Date; Palo Alto, Marvell Are Early Movers",46.0,30.85,3776624896.0,230.793,51.33,13.33,80.04,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,320.73,80975052800,12.2,130.7,49.78,10.31,60.32,257.18,228.56,True,True,True,BULLISH TREND,False,56.61,NEUTRAL,5,Why Is ON Semiconductor Corp. (ON) Up 25.3% Since Last Earnings Report? | Stock Indexes Post New Record Highs Amid AI Enthusiasm | Stocks Push Higher on US Labor Market Strength and AI Spending,30.69,18.19,2727124992.0,103.991,25.81,21.03,79.98,BUY SIGNAL
CIEN,https://www.tradingview.com/chart/?symbol=CIEN,Ciena Corporation,Technology,622.605,88035368960,33.1,232.3,86.93,15.62,57.98,513.94,290.0,True,True,True,BULLISH TREND,False,62.52,POSITIVE,5,Generac Joins Data Center Fracas; Soars On Generator Deal With AI Hyperscaler | Ciena Taps Cloud And Subsea Demand In Cirion And Biznet Wins | Huang’s copper-vs-optics call sends optical stocks surging,396.56,70.58,699300736.0,56.931,8.2,4.47,79.7,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,308.98,281200492544,18.6,31.3,53.23,10.56,51.4,258.17,202.98,True,True,True,BULLISH TREND,False,54.4,NEUTRAL,5,Can AVGO Stock Live Up To Its Multiple? | Texas Instruments (TXN) Crossed Above the 20-Day Moving Average: What That Means for Investors | What's Happening With Coherent Stock?,52.82,32.82,1068249984.0,83.741,32.35,29.11,79.55,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,379.0,39985496064,23.1,96.2,49.11,11.23,60.66,326.42,251.64,True,True,True,BULLISH TREND,False,56.71,NEUTRAL,5,Sanmina Surges 201% in the Past Year: Reason to Bet on the Stock? | Flex Upgrades AI Portfolio: Can it Capitalize on the Data Center Boom? | Assessing Whether Jabil (JBL) Is Overvalued After Its Strong Recent Share Price Performance,51.01,25.98,1203750016.0,328.91,59.7,2.48,79.49,BUY SIGNAL
LLY,https://www.tradingview.com/chart/?symbol=LLY,Eli Lilly and Company,Healthcare,1085.385,967882702848,55.5,169.9,7.89,12.33,64.05,963.22,940.55,True,True,True,BULLISH TREND,False,50.26,NEUTRAL,5,Move Over AI: Jeff Bezos and NVIDIA Are Quietly Backing a New Breakthrough Industry | Where Will Eli Lilly Stock be In 2028? | OCGN's Catalyst Calendar for Trial Data and Filings Through 2028,38.49,24.41,9156599808.0,139.015,107.46,34.99,79.22,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,194.2,12464727040,6.0,43.5,27.54,26.04,45.5,169.23,138.76,True,True,True,BULLISH TREND,False,67.83,POSITIVE,5,Best Growth Stocks to Buy for June 2nd | DaVita and Arcosa have been highlighted as Zacks Bull and Bear of the Day | Bull of the Day: DaVita Inc. (DVA),18.73,11.3,999662976.0,1261.331,80.98,5.65,78.33,BUY SIGNAL
GLW,https://www.tradingview.com/chart/?symbol=GLW,Corning Incorporated,Technology,198.7,171008737280,20.0,138.9,34.85,24.41,46.22,170.5,113.86,True,True,True,BULLISH TREND,False,53.61,NEUTRAL,5,"Why Is ADTRAN Holdings (ADTN) Up 19.4% Since Last Earnings Report? | When Nvidia's CEO Speaks, This Stock Listens | How Corning Turned Glass Into Gold",95.53,47.04,612000000.0,80.363,16.74,11.09,78.24,BUY SIGNAL
AAPL,https://www.tradingview.com/chart/?symbol=AAPL,Apple Inc.,Technology,310.305,4557486161920,16.6,21.8,17.76,12.2,64.05,278.79,263.97,True,True,True,BULLISH TREND,False,59.38,NEUTRAL,5,"Apple Investors Looking For A WWDC Boost May Be Disappointed, UBS Warns | Apple’s WWDC Event Is Just Days Away. Don’t Expect Fireworks for the Stock, UBS Says. | Apple Developer Conference Unlikely to Be Positive Catalyst for Shares, UBS Says",37.57,32.3,101090746368.0,79.548,141.47,27.15,78.2,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,105.65,34290792448,10.6,84.5,3.03,17.3,61.69,96.52,101.77,True,True,False,BULLISH TREND,False,65.34,POSITIVE,5,Delta Air Lines vs. United Airlines: Which Industrials Stock Is a Better Buy in 2026? | UAL Drives Network Expansion Through New Nonstop Service to St. Croix | United Airlines (UAL) Q1 2026 Earnings Transcript,9.45,7.43,1647000064.0,195.081,25.73,6.06,78.08,BUY SIGNAL
MNST,https://www.tradingview.com/chart/?symbol=MNST,Monster Beverage Corporation,Consumer Defensive,89.35,87385022464,26.9,28.9,13.12,18.82,62.8,79.5,74.6,True,True,True,BULLISH TREND,False,67.64,POSITIVE,5,Morgan Stanley resets Monster stock price target after earnings | Hedge Fund Broadwood Capital Added Over 1 Million Shares of STAAR Surgical to Its Position. Here's What That Means for Investors. | FMX or MNST: Which Is the Better Value Stock Right Now?,43.16,34.56,1684340480.0,1.082,26.65,23.11,77.51,BUY SIGNAL
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,345.84,22604765184,25.4,49.1,3.41,11.26,59.8,321.87,310.56,True,True,True,BULLISH TREND,False,57.43,NEUTRAL,5,Diversified Financial Services Stocks Q1 In Review: Corpay (NYSE:CPAY) Vs Peers | Do Wall Street Analysts Like Corpay Stock? | MarketBeat Week in Review – 05/18 - 05/22,20.71,11.3,2095142784.0,271.343,32.12,24.6,77.49,BUY SIGNAL
BKR,https://www.tradingview.com/chart/?symbol=BKR,Baker Hughes Company,Energy,63.99,63482474496,2.5,132.5,2.66,-6.96,45.63,63.96,53.81,True,True,True,HIGH CONVICTION DIP BUY,True,64.01,POSITIVE,5,North America Adds 28 Rigs Week on Week | Baker Hughes Secures Long-Term Contract Extensions With Equinor | New Strong Sell Stocks for June 1st,20.44,22.99,3151249920.0,82.935,17.18,11.17,77.37,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,97.52,19482755072,20.9,83.8,-0.56,0.39,46.2,96.08,95.84,True,True,True,BULLISH TREND,False,58.81,NEUTRAL,5,"Centene, Deckers and 14 Other ‘Dividend Hopefuls’ | Why Is Agios Pharmaceuticals (AGIO) Up 8.6% Since Last Earnings Report? | JPMorgan says large-cap biotech is back as profits and pipelines fuel upside",13.77,10.75,558867008.0,0.701,30.82,26.71,77.3,BUY SIGNAL
APP,https://www.tradingview.com/chart/?symbol=APP,AppLovin Corporation,Communication Services,569.63,191361236992,59.0,113.1,29.79,19.92,72.25,466.87,538.72,True,True,False,WATCH - OVERBOUGHT,False,61.79,POSITIVE,5,2 Mega-Cap Stocks to Own for Decades and 1 We Question | Why AppLovin Rallied in May | High Growth Tech Stocks To Watch In US June 2026,49.49,25.98,3180097280.0,162.888,266.44,64.29,77.19,BUY SIGNAL
ASML,https://www.tradingview.com/chart/?symbol=ASML,ASML Holding N.V.,Technology,1723.47,664255791104,13.2,19.2,26.91,24.33,65.35,1474.35,1205.85,True,True,True,BULLISH TREND,False,66.21,POSITIVE,5,JP Morgan raises ASML estimates as chipmaker signals it can supply far more EUV tools than previously guided | A Stock’s Most Important Phrase Is No Longer “Beat Estimates” — It’s These 3 Words | Are Computer and Technology Stocks Lagging  Advanced Energy Industries (AEIS) This Year?,57.09,35.8,8243274752.0,12.989,52.24,29.71,76.95,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,719.86,108022292480,26.3,51.0,27.21,-4.95,36.25,660.49,505.76,True,True,True,BULLISH TREND,False,46.82,NEUTRAL,5,How The Quanta Services (PWR) Investment Story Is Evolving With Recent Developments | Argan Gears Up for Q1 Earnings: What's in the Offing for the Stock? | The Boring Sector Quietly Powering the Entire AI Revolution,99.02,43.78,1037176768.0,69.121,13.53,3.67,76.7,BUY SIGNAL
PANW,https://www.tradingview.com/chart/?symbol=PANW,"Palo Alto Networks, Inc.",Technology,278.1,225539112960,14.9,60.5,78.17,50.68,68.75,199.0,191.15,True,True,True,BULLISH TREND,False,53.97,NEUTRAL,5,"Stock Market Today: Dow Drops 400 Points, Small Caps Crater On U.S.-Iran Unease; Macy's Wobbles (Live Coverage) | Palo Alto Networks Q3 Earnings and Revenues Surpass Estimates | Top Midday Stories: Alphabet Upsizes Equity Capital Raise to $84.75 Billion; SpaceX Planning $135 a Share IPO",239.74,68.15,2859225088.0,4.887,16.26,12.96,76.52,BUY SIGNAL
CDNS,https://www.tradingview.com/chart/?symbol=CDNS,"Cadence Design Systems, Inc.",Technology,403.17,111200739328,18.7,23.0,34.11,15.35,69.65,329.38,324.02,True,True,True,BULLISH TREND,False,67.42,POSITIVE,5,ADBE or CDNS: Which Is the Better Value Stock Right Now? | 1 Momentum  Stock with Competitive Advantages and 2 We Brush Off | Samsung Electronics Deepens AI And Connectivity Role With New Partnerships,93.98,42.96,1499152256.0,46.992,20.66,21.18,75.94,BUY SIGNAL
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,458.89,51062505472,11.9,39.6,15.51,14.99,52.93,413.78,384.7,True,True,True,BULLISH TREND,False,66.42,POSITIVE,5,"DKILY or ROK: Which Is the Better Value Stock Right Now? | Hubbell, Rockwell Automation, and First Solar Shares Skyrocket, What You Need To Know | Assessing Rockwell Automation (ROK) Valuation After Recent Share Price Momentum And Planned US$2b Investment",47.6,31.62,974499968.0,113.367,27.18,12.36,75.91,BUY SIGNAL
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,26.275,15828948992,27.0,265.2,17.93,34.57,71.48,21.07,24.74,True,True,False,WATCH - OVERBOUGHT,False,61.97,POSITIVE,5,"GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem | Gen Digital Inc. Q4 2026 Earnings Call Summary",16.74,7.99,1422249984.0,316.354,39.88,19.46,75.56,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,341.21,426707320832,23.8,40.8,57.23,31.96,71.04,269.65,196.02,True,True,True,WATCH - OVERBOUGHT,False,68.55,POSITIVE,5,Will Strong Cash Flows Support Lam Research's Buyback Strategy Ahead? | Top Wide-Moat Stocks to Buy for Steady Long-Term Returns | Why Lam Research (LRCX) Stock Is Trading Up Today,64.62,42.96,4352341504.0,35.282,66.76,30.94,74.98,WATCHLIST
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,108.18,115487858688,45.8,78.6,-8.51,0.09,34.67,111.27,100.36,False,True,True,NO CLEAR ENTRY,False,61.31,POSITIVE,5,A Look At Newmont (NEM) Valuation As Shares Trade Near Estimated Fair Value | Gold Stocks Are in a Bear Market. The Case For Buying. | Newmont Corporation (NEM) Is a Trending Stock: Facts to Know Before Betting on It,14.03,9.49,9804874752.0,15.762,25.83,33.87,74.95,WATCHLIST
AMAT,https://www.tradingview.com/chart/?symbol=AMAT,"Applied Materials, Inc.",Technology,500.82,397630767104,11.4,33.5,42.73,28.12,72.29,404.31,296.42,True,True,True,WATCH - OVERBOUGHT,False,66.53,POSITIVE,5,"AXTI's Capacity Expansion: Will It Cement AI Supply-Chain Leadership? | Will Strong Cash Flows Support Lam Research's Buyback Strategy Ahead? | Applied Materials and Photronics Stocks Trade Up, What You Need To Know",47.11,30.97,3040375040.0,30.399,39.69,29.31,74.57,WATCHLIST
KLAC,https://www.tradingview.com/chart/?symbol=KLAC,KLA Corporation,Technology,2099.26,274221121536,11.5,11.8,45.83,22.68,67.23,1761.81,1362.47,True,True,True,BULLISH TREND,False,70.34,POSITIVE,5,Will Strong Cash Flows Support Lam Research's Buyback Strategy Ahead? | Can Rising Process Control Intensity Drive KLA's Next Growth Phase? | Stock Indexes Post New Record Highs Amid AI Enthusiasm,59.33,42.11,2890187008.0,105.4,94.98,35.66,74.28,WATCHLIST
RL,https://www.tradingview.com/chart/?symbol=RL,Ralph Lauren Corporation,Consumer Cyclical,359.97,21424099328,16.6,20.0,0.02,1.6,63.69,358.76,343.1,True,True,True,BULLISH TREND,False,59.64,NEUTRAL,5,4 GARP Stocks That Investors Can Scoop Up for Maximum Returns | Ralph Lauren Revenue Milestone Highlights China Growth And Customization Push | China Luxury Demand Rebound Sends Fresh Signal To Investors,23.81,17.67,656187520.0,105.913,34.66,11.6,73.77,WATCHLIST
A,https://www.tradingview.com/chart/?symbol=A,"Agilent Technologies, Inc.",Healthcare,138.06,38992551936,10.0,60.0,16.24,23.07,87.93,117.31,129.48,True,True,False,WATCH - OVERBOUGHT,False,54.58,NEUTRAL,5,"Agilent Technologies (A) Declined in Q1 Amid QIAGEN Acquisition Speculation | The 5 Most Interesting Analyst Questions From Agilent’s Q1 Earnings Call | Is Now The Time To Look At Buying Agilent Technologies, Inc. (NYSE:A)?",27.72,20.9,930625024.0,49.733,21.33,19.55,73.52,WATCHLIST
GNRC,https://www.tradingview.com/chart/?symbol=GNRC,Generac Holdings Inc.,Industrials,282.61,16636876800,12.4,69.9,27.76,9.94,57.19,236.01,191.54,True,True,True,BULLISH TREND,False,59.34,NEUTRAL,5,"Generac Joins Data Center Fracas; Soars On Generator Deal With AI Hyperscaler | Is It Too Late To Consider Generac Holdings (GNRC) After A 102% Year To Date Surge? | Generac (GNRC) Stock Trades Up, Here Is Why",88.59,25.47,115297624.0,52.086,7.39,4.37,73.45,WATCHLIST
TEL,https://www.tradingview.com/chart/?symbol=TEL,TE Connectivity plc,Technology,218.66,63825940480,14.5,7150.0,7.44,6.93,64.92,213.22,219.97,True,False,False,NO CLEAR ENTRY,False,57.43,NEUTRAL,5,"Why Is OSI (OSIS) Down 9.7% Since Last Earnings Report? | NVT Surges 53% in 3 Months: Should You Buy, Sell or Hold the Stock? | The Bull Case For TE Connectivity (TEL) Could Change Following Record Q2 EPS Beat And Broad-Based Growth",22.34,17.3,2322249984.0,43.798,22.72,15.54,73.44,WATCHLIST
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,146.425,107278041088,20.1,28.6,80.55,64.08,80.74,100.05,86.26,True,True,True,WATCH - OVERBOUGHT,False,55.61,NEUTRAL,5,"FTNT Jumps 87.5% YTD on AI Security Push: Buy, Sell or Hold the Stock? | Palo Alto Networks Just Had a Monster Quarter. So Why Is Wall Street Nervous? | Stocks Push Higher on US Labor Market Strength and AI Spending",56.75,42.74,1813049984.0,57.31,132.39,27.49,73.05,WATCHLIST
PTC,https://www.tradingview.com/chart/?symbol=PTC,PTC Inc.,Technology,138.85,16037980160,21.7,268.9,-14.87,0.48,47.25,140.88,170.96,False,False,False,NO CLEAR ENTRY,False,63.29,POSITIVE,5,2 Profitable Stocks Worth Your Attention and 1 That Underwhelm | Autodesk's International Expansion Accelerates: Is Growth Durable? | Autodesk Enhances AI Capabilities: Can It Unlock More Revenues?,13.34,16.06,986047232.0,35.78,34.4,41.58,72.86,WATCHLIST
APH,https://www.tradingview.com/chart/?symbol=APH,Amphenol Corporation,Technology,148.75,182997385216,58.4,24.1,15.02,5.47,74.64,136.96,133.87,True,True,True,WATCH - OVERBOUGHT,False,63.38,POSITIVE,5,How Corning Turned Glass Into Gold | C3.ai Set to Report Q4 Earnings: What Should Investors Expect? | Will Higher Semiconductor Revenues Help AVGO Stock Beat Q2 Earnings?,42.62,26.24,3563725056.0,133.051,36.83,17.24,72.82,WATCHLIST
HPQ,https://www.tradingview.com/chart/?symbol=HPQ,HP Inc.,Technology,26.235,23992502272,9.0,16.2,40.25,26.13,66.87,21.08,22.68,True,True,False,BULLISH TREND,False,67.56,POSITIVE,5,"What Apple Stock Was Shouting Before the Surge | HP’s Q1 Earnings Call: Our Top 5 Analyst Questions | AI Bubble or Not, the Stock Prices of These Dotcom Darlings Are Soaring Like It's 1999",9.72,8.72,3450874880.0,,,4.45,72.7,WATCHLIST
